sim_id,scenario_id,start_date,SPX_Return,SPX_Volatility,Card1_Active,Card2_Active,Card3_Active,Card4_Active,Card5_Active,Card6_Active,Card7_Active,Card8_Active,Card9_Active,Card10_Active,Card11_Active,Final_Return
103,lehman,2008-06-18,-32.3611,3.1282,0,0,0,1,0,0,1,0,1,1,0,-19.63
104,lehman,2007-12-23,-4.7512,1.3691,1,0,0,0,0,1,1,0,0,0,1,10.46
105,lehman,2008-10-16,-23.7809,3.3114,0,0,0,0,1,0,0,1,0,1,1,1.09
106,lehman,2008-04-17,-7.1597,1.2236,1,0,0,0,1,0,0,1,0,0,1,-6.9
107,lehman,2009-05-07,17.147,1.2614,1,0,1,1,0,0,1,0,0,0,0,5.25
108,lehman,2008-10-06,-30.4478,3.6538,0,0,1,0,0,0,1,1,0,0,1,-6.85
109,lehman,2008-11-08,-8.3452,3.046,0,0,1,0,0,1,1,0,0,0,1,2.64
110,lehman,2008-10-20,-23.2241,3.3028,0,0,0,0,1,0,1,1,0,1,0,-15.2
111,lehman,2008-09-14,-29.0811,3.828,1,1,0,0,0,1,0,0,1,0,0,-10.06
112,lehman,2008-06-29,-32.8813,3.2883,0,1,0,0,1,0,0,0,1,0,1,-25.93
113,lehman,2007-12-03,-5.0651,1.4057,0,1,0,0,0,0,1,1,0,0,1,9.12
114,lehman,2008-08-29,-35.4942,3.8395,1,0,1,0,0,0,0,1,0,0,1,-23.58
115,lehman,2008-08-29,-35.4942,3.8395,0,1,0,0,1,1,0,0,0,0,1,-12.2
116,lehman,2008-09-19,-33.5708,3.785,0,1,0,0,1,0,0,1,0,1,0,7.29
117,lehman,2007-11-14,-7.8942,1.4489,1,0,0,0,0,0,1,0,1,1,0,1.36
118,lehman,2009-05-21,21.1475,1.1728,1,0,0,1,1,0,1,0,0,0,0,6.52
119,lehman,2009-01-06,-1.6647,2.3601,0,1,0,0,1,1,1,0,0,0,0,18.9
120,lehman,2009-03-19,28.4501,1.7171,0,0,0,0,1,0,0,1,0,1,1,-4.12
121,lehman,2007-12-16,-3.9851,1.3751,1,0,0,0,1,1,0,0,1,0,0,8.85
122,lehman,2007-09-21,-10.391,1.278,0,1,0,1,0,0,0,1,0,0,1,18.84
123,lehman,2009-02-12,5.4886,2.1357,0,0,0,0,1,0,0,1,1,1,0,11.44
124,lehman,2009-02-24,21.6778,2.0377,0,1,1,0,0,0,1,0,1,0,0,3.27
125,lehman,2009-01-18,17.3456,2.2477,0,1,0,0,0,0,1,1,1,0,0,4.82
126,lehman,2009-04-26,24.6353,1.3115,0,0,0,0,0,1,0,0,1,1,1,1.84
127,lehman,2008-04-14,-4.0156,1.1916,0,0,1,1,0,0,0,0,1,1,0,-0.24
128,lehman,2008-12-27,2.175,2.3682,0,0,1,0,0,0,0,1,0,1,1,5.06
129,lehman,2009-03-27,21.292,1.5478,0,0,0,1,0,0,0,0,1,1,1,11.75
130,lehman,2009-03-17,28.1396,1.7295,0,0,0,1,0,0,1,1,1,0,0,2.13
131,lehman,2008-05-13,-20.581,1.9354,0,1,1,0,1,0,0,0,0,1,0,-5.16
132,lehman,2008-05-08,-20.8388,1.816,1,0,1,0,0,0,0,1,0,1,0,-2.04
133,lehman,2008-08-25,-33.3981,3.7829,1,0,1,0,0,0,1,0,1,0,0,-27.25
134,lehman,2008-04-01,-6.9801,1.1697,1,0,0,1,0,1,0,0,0,1,0,-1.4
135,lehman,2007-11-06,-9.8726,1.5147,0,1,0,0,0,1,0,1,0,1,0,0.67
136,lehman,2008-07-18,-27.8405,3.719,0,0,1,0,0,1,0,0,1,0,1,-18.39
137,lehman,2008-02-18,-7.0723,1.3062,1,0,0,0,1,0,1,0,1,0,0,0.42
138,lehman,2009-02-27,29.8589,2.0103,1,0,1,0,0,0,0,0,1,1,0,19.74
139,lehman,2008-11-28,-4.9451,2.6415,1,0,0,1,0,0,1,0,0,0,1,6.27
140,lehman,2009-01-06,-1.6647,2.3601,1,0,0,0,1,1,1,0,0,0,0,10.18
141,lehman,2008-02-22,-10.2135,1.3051,0,0,0,0,1,0,1,0,0,1,1,-0.28
142,lehman,2008-06-29,-32.8813,3.2883,1,0,1,0,0,0,0,1,1,0,0,-22.96
143,lehman,2008-04-17,-7.1597,1.2236,0,1,0,0,1,1,0,0,1,0,0,-9.53
144,lehman,2008-07-15,-28.3288,3.6789,1,1,0,0,0,0,0,0,1,1,0,12.2
145,lehman,2008-09-24,-33.4522,3.7915,1,1,0,0,0,1,0,0,0,1,0,14.25
146,lehman,2008-10-20,-23.2241,3.3028,0,0,1,0,1,0,0,1,0,0,1,-6.07
147,lehman,2008-07-31,-29.9437,3.7546,0,0,1,1,0,0,1,0,0,0,1,-14.91
148,lehman,2008-10-22,-13.2318,3.2526,0,0,1,0,1,0,0,0,1,1,0,-1.54
149,lehman,2008-01-26,-1.1928,1.2948,0,1,0,1,0,0,0,0,1,1,0,2.54
150,lehman,2008-01-10,-3.0049,1.336,1,0,1,0,1,0,0,1,0,0,0,5.15
151,lehman,2009-05-10,16.2597,1.2207,0,0,0,0,0,1,1,0,1,1,0,5.72
152,lehman,2008-04-02,-6.5673,1.1701,1,0,0,1,0,0,0,1,0,0,1,-1.46
153,lehman,2008-04-14,-4.0156,1.1916,0,1,0,0,0,1,1,0,0,1,0,-7.5
154,lehman,2009-02-13,6.3761,2.1331,0,0,1,1,0,1,0,0,0,0,1,12.33
155,lehman,2008-06-28,-32.8813,3.2883,1,1,0,0,0,0,1,0,0,1,0,-19.71
156,lehman,2008-05-04,-15.7458,1.5928,0,0,0,0,0,0,1,1,1,1,0,0.36
157,lehman,2009-01-12,8.2964,2.3387,1,0,0,0,0,1,0,0,1,0,1,23.07
158,lehman,2008-09-24,-33.4522,3.7915,1,0,0,1,0,0,0,1,0,0,1,10.92
159,lehman,2008-11-09,-8.3452,3.046,1,0,1,1,1,0,0,0,0,0,0,15.12
160,lehman,2008-03-08,0.8552,1.3395,0,0,0,1,0,1,0,0,0,1,1,-2.81
161,lehman,2008-09-01,-34.8808,3.8406,1,0,1,0,0,0,0,1,0,1,0,-7.48
162,lehman,2009-03-15,33.0061,1.7523,1,1,0,0,0,0,0,0,0,1,1,7.07
163,lehman,2008-06-27,-33.4509,3.2859,0,0,1,1,0,0,0,1,0,0,1,-32.4
164,lehman,2007-12-11,-4.7481,1.3752,0,1,1,0,0,0,0,1,0,1,0,-5.82
165,lehman,2008-04-21,-11.2472,1.2559,0,1,0,1,0,1,1,0,0,0,0,-10.7
166,lehman,2008-09-10,-33.0022,3.8478,1,0,1,0,1,0,0,0,0,0,1,-23.45
167,lehman,2007-12-21,-4.1018,1.3717,0,0,1,1,0,0,1,0,0,0,1,11.65
168,lehman,2007-11-20,-7.3119,1.4472,1,0,1,0,0,1,0,0,0,0,1,-6.27
169,lehman,2008-11-15,0.938,2.9077,1,1,0,0,0,1,1,0,0,0,0,4.7
170,lehman,2008-01-01,-4.9221,1.3714,1,0,0,1,0,0,0,1,0,1,0,-1.46
171,lehman,2008-04-23,-9.2925,1.262,0,0,0,0,1,1,1,0,1,0,0,-5.41
172,lehman,2009-04-17,17.9151,1.4076,1,1,0,1,0,0,0,0,1,0,0,9.38
173,lehman,2008-10-05,-30.4478,3.6538,0,0,1,0,1,1,0,0,1,0,0,-12.83
174,lehman,2009-02-05,9.6211,2.1777,0,0,0,1,0,0,0,1,1,1,0,-1.25
175,lehman,2008-05-01,-14.3507,1.5875,0,1,1,0,0,1,0,1,0,0,0,-2.67
176,lehman,2008-12-30,-0.4087,2.356,1,0,0,0,1,1,0,0,0,0,1,10.98
177,lehman,2008-08-13,-27.8715,3.7606,0,0,1,0,0,0,1,1,1,0,0,-4.62
178,lehman,2009-01-21,12.6119,2.208,1,0,1,0,1,0,0,0,0,0,1,23.69
179,lehman,2008-03-06,-5.3644,1.3193,0,0,0,0,0,0,1,1,1,0,1,-4.51
180,lehman,2008-09-13,-29.0811,3.828,1,0,1,0,0,0,1,0,1,0,0,-10.88
181,lehman,2008-03-13,-5.0529,1.2928,1,0,0,1,0,1,0,0,1,0,0,-4.07
182,lehman,2008-08-11,-30.8024,3.7457,0,0,1,1,0,1,0,1,0,0,0,-22.53
183,lehman,2008-02-12,-6.3728,1.2846,1,0,1,0,1,1,0,0,0,0,0,-3.23
184,lehman,2008-04-13,-4.0156,1.1916,0,0,1,0,0,1,0,1,0,1,0,-0.6
185,lehman,2008-04-02,-6.5673,1.1701,0,0,1,0,1,0,0,1,0,0,1,0.82
186,lehman,2008-03-01,-3.6918,1.3054,0,0,0,0,0,1,0,1,1,0,1,-3.74
187,lehman,2009-01-19,17.3456,2.2477,0,0,1,1,0,1,0,0,0,1,0,-8.13
188,lehman,2007-09-13,-9.9269,1.3008,1,1,0,1,0,1,0,0,0,0,0,6.73
189,lehman,2008-03-18,-4.8597,1.247,0,1,1,0,0,0,0,1,0,0,1,-2.92
190,lehman,2009-01-13,7.8345,2.339,0,1,1,0,0,0,0,1,0,1,0,10.18
191,lehman,2009-01-08,3.8484,2.3541,1,1,0,0,0,0,0,1,0,1,0,1.35
192,lehman,2008-05-20,-35.6219,2.1664,0,0,0,1,1,0,1,0,1,0,0,-27.31
193,lehman,2008-07-16,-32.1305,3.6776,0,0,0,0,0,1,1,1,0,0,1,-22.8
194,lehman,2008-07-08,-32.6851,3.5232,0,0,1,1,0,0,0,1,0,0,1,-23.42
195,lehman,2007-10-03,-10.282,1.2953,0,1,0,1,0,0,1,0,0,1,0,21.34
196,lehman,2008-02-10,-5.7956,1.2869,0,1,0,0,0,1,0,1,1,0,0,0.25
197,lehman,2009-05-16,16.2546,1.1879,0,0,1,0,1,0,0,1,0,1,0,10.0
198,lehman,2009-04-19,24.1449,1.3349,0,0,1,1,0,0,1,0,0,0,1,7.43
199,lehman,2008-10-29,-13.3288,3.1305,0,0,0,0,1,1,0,1,1,0,0,1.67
200,lehman,2007-12-26,-4.7427,1.3692,0,0,0,1,0,0,1,1,0,0,1,8.97
201,lehman,2008-12-03,-1.7893,2.446,1,1,0,0,0,1,0,0,0,1,0,4.88
202,lehman,2008-12-19,0.5845,2.3502,1,1,0,0,1,0,1,0,0,0,0,5.37
203,lehman,2008-02-04,-4.262,1.2864,0,0,0,0,1,1,0,0,0,1,1,-0.48
204,lehman,2008-11-02,-15.5604,3.1319,0,0,0,0,0,1,0,0,1,1,1,0.83
205,lehman,2008-10-20,-23.2241,3.3028,0,0,0,1,0,0,0,1,0,1,1,-2.95
206,lehman,2008-07-30,-31.0669,3.7555,0,0,1,0,1,1,0,0,0,1,0,14.08
